Year,Rank,Rider,Time,Team
1995,90,Erik Zabel (GER),"+ 2h 56' 48""",Team Telekom/ZG Mobili–Selle Italia
1995,91,Arvis Piziks (LAT),"+ 2h 57' 55""",Novell–Decca–Colnago
1995,92,François Lemarchand (FRA),"+ 2h 58' 26""",GAN
1995,93,José Angel Vidal (ESP),"+ 2h 58' 38""",Kelme–Sureña
1995,94,Thierry Marie (FRA),"+ 2h 58' 54""",Castorama
1995,95,Aitor Garmendia (ESP),"+ 2h 59' 43""",Banesto
1995,96,Alexander Gontchenkov (UKR),"+ 3h 00' 25""",Lampre–Panaria
1995,97,Frans Maassen (NED),"+ 3h 01' 43""",Novell–Decca–Colnago
1995,98,Mario Scirea (ITA),"+ 3h 01' 55""",Polti–Granarolo–Santini
1995,99,Mauro Bettin (ITA),"+ 3h 04' 00""",Aki–Gipiemme
1995,100,Nicola Loda (ITA),"+ 3h 04' 45""",MG Maglificio–Technogym
1995,101,Steve Bauer (CAN),"+ 3h 05' 33""",Motorola
1995,102,Rossano Brasi (ITA),"+ 3h 06' 23""",Polti–Granarolo–Santini
1995,103,Giovanni Lombardi (ITA),"+ 3h 06' 40""",Polti–Granarolo–Santini
1995,104,Gilles Talmant (FRA),"+ 3h 07' 19""",Castorama
1995,105,Peter Farazijn (BEL),"+ 3h 09' 32""",Lotto–Isoglass
1995,106,Stefano Colagè (ITA),"+ 3h 10' 04""",Team Telekom/ZG Mobili–Selle Italia
1995,107,Gian Matteo Fagnini (ITA),"+ 3h 12' 11""",Mercatone Uno–Saeco
1995,108,Giovanni Fidanza (ITA),"+ 3h 12' 20""",Polti–Granarolo–Santini
1995,109,Stephen Swart (NZL),"+ 3h 14' 15""",Motorola
1995,110,Gianluca Gorini (ITA),"+ 3h 14' 20""",Aki–Gipiemme
1995,111,Marco Serpellini (ITA),"+ 3h 16' 05""",Lampre–Panaria
1995,112,Davide Cassani (ITA),"+ 3h 16' 51""",MG Maglificio–Technogym
1995,113,Bart Voskamp (NED),"+ 3h 17' 41""",TVM–Polis Direct
1995,114,Eros Poli (ITA),"+ 3h 21' 26""",Mercatone Uno–Saeco
1995,115,Bruno Cornillet (FRA),"+ 3h 36' 26""",Chazal–König
1996,1,Bjarne Riis (DEN),"95h 57' 16""",Team Telekom
1996,2,Jan Ullrich (GER),"+ 1' 41""",Team Telekom
1996,3,Richard Virenque (FRA),"+ 4' 37""",Festina–Lotus
1996,4,Laurent Dufaux (SUI),"+ 5' 53""",Festina–Lotus
1996,5,Peter Luttenberger (AUT),"+ 7' 07""",Carrera Jeans–Tassoni
1996,6,Luc Leblanc (FRA),"+ 10' 03""",Team Polti
1996,7,Piotr Ugrumov (LAT),"+ 10' 04""",Roslotto–ZG Mobili
1996,8,Fernando Escartín (ESP),"+ 10' 26""",Kelme–Artiach
1996,9,Abraham Olano (ESP),"+ 11' 00""",Mapei–GB
1996,10,Tony Rominger (SUI),"+ 11' 53""",Mapei–GB
1996,11,Miguel Induráin (ESP),"+ 14' 14""",Banesto
1996,12,Patrick Jonker (AUS),"+ 18' 58""",ONCE
1996,13,Bo Hamburger (DEN),"+ 22' 19""",TVM–Farm Frites
1996,14,Udo Bölts (GER),"+ 25' 56""",Team Telekom
1996,15,Alberto Elli (ITA),"+ 26' 18""",MG Maglificio–Technogym
1996,16,Manuel Fernández Ginés (ESP),"+ 26' 28""",Mapei–GB
1996,17,Leonardo Piepoli (ITA),"+ 27' 36""",Refin
1996,18,Laurent Brochard (FRA),"+ 32' 11""",Festina–Lotus
1996,19,Michele Bartoli (ITA),"+ 37' 18""",MG Maglificio–Technogym
1996,20,Evgueni Berzin (RUS),"+ 38' 00""",Gewiss Playbus
1996,21,Viatcheslav Ekimov (RUS),"+ 43' 58""",Rabobank
1996,22,Stefano Cattai (ITA),"+ 48' 03""",Roslotto–ZG Mobili
1996,23,Laurent Madouas (FRA),"+ 53' 15""",Motorola
1996,24,Arsenio González (ESP),"+ 55' 28""",Mapei–GB
1996,25,Massimiliano Lelli (ITA),"+ 55' 35""",Saeco–AS Juvenes San Marino
1996,26,Alex Zülle (SUI),"+ 56' 47""",ONCE
1996,27,Giuseppe Guerini (ITA),"+ 1h 05' 12""",Team Polti
1996,28,Rolf Sørensen (DEN),"+ 1h 11' 28""",Rabobank
1996,29,Jesper Skibby (DEN),"+ 1h 11' 36""",TVM–Farm Frites
1996,30,Marco Fincato (ITA),"+ 1h 11' 51""",Roslotto–ZG Mobili
1996,31,Michael Boogerd (NED),"+ 1h 13' 45""",Rabobank
1996,32,José Luis Arrieta (ESP),"+ 1h 13' 48""",Banesto
1996,33,Paolo Savoldelli (ITA),"+ 1h 15' 20""",Roslotto–ZG Mobili
1996,34,Erik Breukink (NED),"+ 1h 20' 03""",Rabobank
1996,35,Aitor Garmendia (ESP),"+ 1h 20' 42""",ONCE
1996,36,Oscar Camenzind (SUI),"+ 1h 25' 27""",Panaria–Vinavil
1996,37,Claudio Chiappucci (ITA),"+ 1h 27' 23""",Carrera Jeans–Tassoni
1996,38,Melcior Mauri (ESP),"+ 1h 27' 28""",ONCE
1996,39,Chris Boardman (GBR),"+ 1h 27' 44""",GAN
1996,40,Federico Echave (ESP),"+ 1h 29' 25""",Mapei–GB
1996,41,José Roberto Sierra (ESP),"+ 1h 30' 11""",ONCE
1996,42,Pascal Hervé (FRA),"+ 1h 33' 01""",Festina–Lotus
1996,43,Mirco Gualdi (ITA),"+ 1h 34' 59""",Team Polti
1996,44,Laurent Roux (FRA),"+ 1h 36' 11""",TVM–Farm Frites
1996,45,Andrea Tafi (ITA),"+ 1h 38' 54""",Mapei–GB
1996,46,Andrea Ferrigato (ITA),"+ 1h 39' 23""",Roslotto–ZG Mobili
1996,47,Pascal Richard (SUI),"+ 1h 40' 56""",MG Maglificio–Technogym
1996,48,Félix García Casas (ESP),"+ 1h 42' 13""",Festina–Lotus
1996,49,Neil Stephens (AUS),"+ 1h 43' 33""",ONCE
1996,50,Davide Perona (ITA),"+ 1h 43' 40""",Gewiss Playbus
1996,51,Maurizio Fondriest (ITA),"+ 1h 45' 44""",Roslotto–ZG Mobili
1996,52,Valentino Fois (ITA),"+ 1h 45' 58""",Panaria–Vinavil
1996,53,Herminio Díaz Zabala (ESP),"+ 1h 47' 08""",ONCE
1996,54,Orlando Rodrigues (POR),"+ 1h 47' 15""",Banesto
1996,55,Bruno Thibout (FRA),"+ 1h 49' 02""",Motorola
1996,56,Bruno Cenghialta (ITA),"+ 1h 49' 19""",Gewiss Playbus
1996,57,José María Jiménez (ESP),"+ 1h 51' 30""",Banesto
1996,58,Prudencio Induráin (ESP),"+ 1h 52' 30""",Banesto
1996,59,Paolo Lanfranchi (ITA),"+ 1h 54' 42""",Mapei–GB
1996,60,Flavio Vanzella (ITA),"+ 1h 54' 52""",Motorola
1996,61,Massimo Podenzana (ITA),"+ 1h 55' 18""",Carrera Jeans–Tassoni
1996,62,Thierry Bourguignon (FRA),"+ 1h 56' 38""",Aubervilliers 93
1996,63,Fabio Baldato (ITA),"+ 1h 57' 08""",MG Maglificio–Technogym
1996,64,Maarten den Bakker (NED),"+ 1h 58' 25""",TVM–Farm Frites
1996,65,Marcello Siboni (ITA),"+ 2h 00' 52""",Carrera Jeans–Tassoni
1996,66,Marino Alonso (ESP),"+ 2h 00' 55""",Banesto
1996,67,Jean-Pierre Bourgeot (FRA),"+ 2h 01' 22""",Agrigel–La Creuse–Fenioux
1996,68,Wladimir Belli (ITA),"+ 2h 01' 42""",Panaria–Vinavil
1996,69,Cédric Vasseur (FRA),"+ 2h 02' 05""",GAN
1996,70,Massimo Donati (ITA),"+ 2h 02' 53""",Saeco–AS Juvenes San Marino
1996,71,José Joaquín Castelblanco (COL),"+ 2h 03' 01""",Kelme–Artiach
1996,72,Marco Saligari (ITA),"+ 2h 03' 09""",MG Maglificio–Technogym
1996,73,Marco Zen (ITA),"+ 2h 04' 03""",Roslotto–ZG Mobili
1996,74,Erik Dekker (NED),"+ 2h 05' 03""",Rabobank
1996,75,Christophe Moreau (FRA),"+ 2h 07' 20""",Festina–Lotus
1996,76,Christian Henn (GER),"+ 2h 07' 33""",Team Telekom
1996,77,Andréï Tchmil (BEL),"+ 2h 09' 38""",Lotto
1996,78,Djamolidine Abduzhaparov (UZB),"+ 2h 10' 02""",Refin
1996,79,Paolo Fornaciari (ITA),"+ 2h 10' 04""",Saeco–AS Juvenes San Marino
1996,80,Bruno Boscardin (SUI),"+ 2h 10' 12""",Festina–Lotus
1996,81,Julio César Aguirre (COL),"+ 2h 10' 23""",Kelme–Artiach
1996,82,Erik Zabel (GER),"+ 2h 10' 26""",Team Telekom
1996,83,Rolf Aldag (GER),"+ 2h 12' 16""",Team Telekom
1996,84,Danny Nelissen (NED),"+ 2h 12' 25""",Rabobank
1996,85,Oscar Pellicioli (ITA),"+ 2h 13' 14""",Carrera Jeans–Tassoni
1996,86,François Simon (FRA),"+ 2h 16' 19""",GAN
1996,87,Sergei Uslamin (RUS),"+ 2h 16' 30""",Refin
1996,88,Jens Heppner (GER),"+ 2h 17' 17""",Team Telekom
1996,89,Federico Muñoz (COL),"+ 2h 17' 25""",Kelme–Artiach
1996,90,Rolf Järmann (SUI),"+ 2h 20' 28""",MG Maglificio–Technogym
1996,91,François Lemarchand (FRA),"+ 2h 21' 15""",GAN
1996,92,José Ramón Uriarte (ESP),"+ 2h 23' 59""",Banesto
1996,93,Mariano Piccoli (ITA),"+ 2h 24' 29""",Brescialat
1996,94,Cristian Salvato (ITA),"+ 2h 26' 59""",Refin
1996,95,Johan Museeuw (BEL),"+ 2h 29' 02""",Mapei–GB
1996,96,José Jaime González (COL),"+ 2h 29' 13""",Kelme–Artiach
1996,97,Rossano Brasi (ITA),"+ 2h 30' 20""",Team Polti
1996,98,Fabio Roscioli (ITA),"+ 2h 31' 06""",Refin
1996,99,Bart Voskamp (NED),"+ 2h 31' 31""",TVM–Farm Frites
1996,100,Francesco Frattini (ITA),"+ 2h 32' 06""",Gewiss Playbus
1996,101,Scott Sunderland (AUS),"+ 2h 32' 54""",Lotto
1996,102,Francisco Cabello (ESP),"+ 2h 36' 22""",Kelme–Artiach
1996,103,Cristiano Frattini (ITA),"+ 2h 37' 56""",Brescialat
1996,104,Thierry Laurent (FRA),"+ 2h 37' 57""",Agrigel–La Creuse–Fenioux
1996,105,Omar Enrique Pumar (VEN),"+ 2h 38' 10""",Brescialat
1996,106,Frédéric Moncassin (FRA),"+ 2h 38' 57""",GAN
1996,107,Brian Holm (DEN),"+ 2h 39' 51""",Team Telekom
1996,108,Frédérick Guesdon (FRA),"+ 2h 42' 49""",Team Polti
1996,109,José Ángel Vidal (ESP),"+ 2h 42' 58""",Kelme–Artiach
1996,110,Wilfried Peeters (BEL),"+ 2h 46' 47""",Mapei–GB
1996,111,Frankie Andreu (USA),"+ 2h 48' 46""",Motorola
1996,112,Alessandro Baronti (ITA),"+ 2h 52' 37""",Panaria–Vinavil
1996,113,Tobias Steinhauser (GER),"+ 2h 54' 34""",Refin
1996,114,Thierry Gouvenou (FRA),"+ 2h 54' 35""",Aubervilliers 93
1996,115,Jacky Durand (FRA),"+ 2h 54' 39""",Agrigel–La Creuse–Fenioux
1996,116,Peter Van Petegem (BEL),"+ 2h 56' 10""",TVM–Farm Frites
1996,117,Dario Bottaro (ITA),"+ 2h 56' 38""",Gewiss Playbus
1996,118,Gilles Talmant (FRA),"+ 2h 57' 35""",Aubervilliers 93
1996,119,Gerrit de Vries (NED),"+ 3h 04' 45""",Team Polti
1996,120,Paul Van Hyfte (BEL),"+ 3h 06' 43""",Lotto
1996,121,Ivan Cerioli (ITA),"+ 3h 07' 50""",Gewiss Playbus
1996,122,Peter Farazijn (BEL),"+ 3h 14' 06""",Lotto
1996,123,Nico Mattan (BEL),"+ 3h 14' 49""",Lotto
1996,124,Marc Wauters (BEL),"+ 3h 15' 46""",Lotto
1996,125,Mario Chiesa (ITA),"+ 3h 18' 02""",Carrera Jeans–Tassoni
1996,126,Simone Biasci (ITA),"+ 3h 22' 16""",Saeco–AS Juvenes San Marino
1996,127,Eros Poli (ITA),"+ 3h 34' 38""",Saeco–AS Juvenes San Marino
1996,128,Jeroen Blijlevens (NED),"+ 3h 35' 12""",TVM–Farm Frites
1996,129,Jean-Luc Masdupuy (FRA),"+ 3h 49' 52""",Agrigel–La Creuse–Fenioux
1997,1,Jan Ullrich (GER),"100h 30' 35""",Team Telekom
1997,2,Richard Virenque (FRA),"+ 9' 09""",Festina–Lotus
1997,3,Marco Pantani (ITA),"+ 14' 03""",Mercatone Uno
1997,4,Abraham Olano (ESP),"+ 15' 55""",Banesto
1997,5,Fernando Escartín (ESP),"+ 20' 32""",Kelme–Costa Blanca
1997,6,Francesco Casagrande (ITA),"+ 22' 47""",Saeco
1997,7,Bjarne Riis (DEN),"+ 26' 34""",Team Telekom
1997,8,José María Jiménez (ESP),"+ 31' 17""",Banesto
1997,9,Laurent Dufaux (SUI),"+ 31' 55""",Festina–Lotus
1997,10,Roberto Conti (ITA),"+ 32' 26""",Mercatone Uno
1997,11,Beat Zberg (SUI),"+ 35' 41""",Mercatone Uno
1997,12,Oscar Camenzind (SUI),"+ 35' 52""",Mapei–GB
1997,13,Peter Luttenberger (AUT),"+ 45' 39""",Rabobank
1997,14,Manuel Beltrán (ESP),"+ 49' 34""",Banesto
1997,15,Jean-Cyril Robin (FRA),"+ 58' 35""",U.S. Postal Service
1997,16,Michael Boogerd (NED),"+ 1h 00' 33""",Rabobank
1997,17,Bobby Julich (USA),"+ 1h 01' 10""",Cofidis
1997,18,Daniele Nardello (ITA),"+ 1h 01' 30""",Mapei–GB
1997,19,Christophe Moreau (FRA),"+ 1h 02' 48""",Festina–Lotus
1997,20,Stéphane Heulot (FRA),"+ 1h 06' 13""",Française des Jeux
1997,21,Udo Bölts (GER),"+ 1h 09' 02""",Team Telekom
1997,22,Hernán Buenahora (COL),"+ 1h 13' 48""",Banesto
1997,23,Laurent Roux (FRA),"+ 1h 17' 44""",TVM–Farm Frites
1997,24,Massimo Podenzana (ITA),"+ 1h 20' 56""",Mercatone Uno
1997,25,Laurent Madouas (FRA),"+ 1h 24' 58""",Lotto–Mobistar–Isoglass
1997,26,Pascal Chanteur (FRA),"+ 1h 25' 48""",Casino
1997,27,Santiago Blanco (ESP),"+ 1h 29' 18""",Banesto
1997,28,Thierry Bourguignon (FRA),"+ 1h 29' 35""",BigMat–Auber 93
1997,29,Ángel Casero (ESP),"+ 1h 35' 11""",Banesto
1997,30,Alberto Elli (ITA),"+ 1h 37' 23""",Casino
1997,31,Laurent Brochard (FRA),"+ 1h 39' 15""",Festina–Lotus
1997,32,François Simon (FRA),"+ 1h 40' 40""",GAN
1997,33,Orlando Rodrigues (POR),"+ 1h 42' 33""",Banesto
1997,34,Georg Totschnig (AUT),"+ 1h 42' 49""",Team Telekom
1997,35,Joona Laukka (FIN),"+ 1h 43' 05""",Festina–Lotus
1997,36,Pascal Hervé (FRA),"+ 1h 44' 04""",Festina–Lotus
1997,37,Javier Pascual (ESP),"+ 1h 45' 52""",Banesto
1997,38,Kevin Livingston (USA),"+ 1h 46' 23""",Cofidis
1997,39,Peter Farazijn (BEL),"+ 1h 47' 54""",Lotto–Mobistar–Isoglass
1997,40,Cédric Vasseur (FRA),"+ 1h 54' 02""",GAN
1997,41,Marcello Siboni (ITA),"+ 1h 56' 05""",Mercatone Uno
1997,42,Fabrice Gougot (FRA),"+ 1h 56' 15""",Casino
1997,43,Laurent Jalabert (FRA),"+ 1h 58' 32""",ONCE
1997,44,Viatcheslav Ekimov (RUS),"+ 2h 01' 23""",U.S. Postal Service
1997,45,Didier Rous (FRA),"+ 2h 01' 46""",Festina–Lotus
1997,46,Gianluca Bortolami (ITA),"+ 2h 03' 35""",Festina–Lotus
1997,47,Massimiliano Lelli (ITA),"+ 2h 05' 26""",Saeco
1997,48,Christophe Mengin (FRA),"+ 2h 06' 57""",Française des Jeux
1997,49,Peter Meinert (DEN),"+ 2h 07' 38""",U.S. Postal Service
1997,50,Frank Vandenbroucke (BEL),"+ 2h 09' 34""",Mapei–GB
1997,51,Rolf Aldag (GER),"+ 2h 10' 36""",Team Telekom
1997,52,Erik Breukink (NED),"+ 2h 13' 44""",Rabobank
1997,53,Giuseppe Guerini (ITA),"+ 2h 14' 21""",Team Polti
1997,54,Neil Stephens (AUS),"+ 2h 23' 40""",Festina–Lotus
1997,55,Juan José de los Ángeles (ESP),"+ 2h 24' 12""",Banesto
1997,56,Andrea Peron (ITA),"+ 2h 24' 48""",Française des Jeux
1997,57,Andrea Tafi (ITA),"+ 2h 25' 53""",Mapei–GB
1997,58,Davide Rebellin (ITA),"+ 2h 29' 54""",Française des Jeux
1997,59,Zenon Jaskuła (POL),"+ 2h 30' 15""",Mapei–GB
1997,60,Jens Heppner (GER),"+ 2h 31' 12""",Team Telekom
1997,61,Marino Alonso (ESP),"+ 2h 32' 25""",Banesto
1997,62,Patrick Jonker (AUS),"+ 2h 33' 38""",Rabobank
1997,63,Aitor Garmendia (ESP),"+ 2h 35' 30""",ONCE
1997,64,Maarten den Bakker (NED),"+ 2h 38' 30""",TVM–Farm Frites
1997,65,Jon Odriozola (ESP),"+ 2h 40' 08""",Batik–Del Monte
1997,66,Erik Zabel (GER),"+ 2h 41' 16""",Team Telekom
1997,67,Maximilian Sciandri (GBR),"+ 2h 42' 24""",Française des Jeux
1997,68,Rolf Sørensen (DEN),"+ 2h 43' 47""",Rabobank
1997,69,Tyler Hamilton (USA),"+ 2h 47' 51""",U.S. Postal Service
1997,70,Íñigo Cuesta (ESP),"+ 2h 50' 02""",ONCE
1997,71,Francisco Benitez (ESP),"+ 2h 53' 37""",Banesto
1997,72,Daniele Sgnaolin (ITA),"+ 2h 54' 00""",Roslotto–ZG Mobili
1997,73,Marco Zen (ITA),"+ 2h 54' 29""",Mapei–GB
1997,74,Giorgio Furlan (ITA),"+ 2h 56' 21""",Saeco
1997,75,José Luis Arrieta (ESP),"+ 2h 57' 04""",Banesto
1997,76,Miguel Arroyo (MEX),"+ 3h 04' 05""",BigMat–Auber 93
1997,77,José Angel Vidal (ESP),"+ 3h 04' 27""",Banesto
1997,78,Jose-Roberto Sierra (ESP),"+ 3h 04' 58""",ONCE
1997,79,Frankie Andreu (USA),"+ 3h 05' 00""",Cofidis
1997,80,Oscar Pelliccioli (ITA),"+ 3h 07' 09""",Mercatone Uno
1997,81,Erik Dekker (NED),"+ 3h 07' 17""",Rabobank
1997,82,Jesper Skibby (DEN),"+ 3h 07' 50""",TVM–Farm Frites
1997,83,Dominique Rault (FRA),"+ 3h 09' 58""",Mutuelle de Seine-et-Marne
1997,84,Christian Henn (GER),"+ 3h 10' 01""",Team Telekom
1997,85,Francisco Mauleón (ESP),"+ 3h 11' 00""",ONCE
1997,86,Gianluca Valoti (ITA),"+ 3h 11' 57""",Team Polti
1997,87,Dariusz Baranowski (POL),"+ 3h 12' 45""",U.S. Postal Service
1997,88,Thierry Gouvenou (FRA),"+ 3h 12' 52""",BigMat–Auber 93
1997,89,Wilfried Peeters (BEL),"+ 3h 13' 33""",Mapei–GB
1997,90,Paul Van Hyfte (BEL),"+ 3h 18' 11""",Lotto–Mobistar–Isoglass
1997,91,Marco Artunghi (ITA),"+ 3h 18' 29""",Mercatone Uno
1997,92,Íñigo Chaurreau (ESP),"+ 3h 20' 28""",Team Polti
1997,93,Artūras Kasputis (LIT),"+ 3h 22' 01""",Casino
1997,94,Christophe Agnolutto (FRA),"+ 3h 22' 57""",Casino
1997,95,Marco Saligari (ITA),"+ 3h 23' 36""",Casino
1997,96,Marty Jemison (USA),"+ 3h 25' 21""",U.S. Postal Service
1997,97,Giuseppe Tartaggia (ITA),"+ 3h 25' 54""",Batik–Del Monte
1997,98,Bart Voskamp (NED),"+ 3h 26' 27""",TVM–Farm Frites
1997,99,Henk Vogels jr (AUS),"+ 3h 26' 46""",GAN
1997,100,Mario Traversoni (ITA),"+ 3h 27' 30""",Mercatone Uno
1997,101,Laurent Genty (FRA),"+ 3h 27' 56""",BigMat–Auber 93
1997,102,Peter Van Petegem (BEL),"+ 3h 29' 20""",TVM–Farm Frites
1997,103,Gian Matteo Fagnini (ITA),"+ 3h 29' 34""",Saeco
1997,104,George Hincapie (USA),"+ 3h 31' 08""",U.S. Postal Service
1997,105,Arnaud Prétot (FRA),"+ 3h 32' 07""",GAN
1997,106,Flavio Vanzella (ITA),"+ 3h 32' 52""",Française des Jeux
1997,107,Servais Knaven (NED),"+ 3h 34' 52""",TVM–Farm Frites
1997,108,Francisco Cabello (ESP),"+ 3h 35' 42""",Banesto
1997,109,Stuart O'Grady (AUS),"+ 3h 35' 56""",GAN
1997,110,Nicola Loda (ITA),"+ 3h 39' 10""",MG Maglificio–Technogym
1997,111,Frédérick Guesdon (FRA),"+ 3h 41' 04""",Française des Jeux
1997,112,Bruno Cenghialta (ITA),"+ 3h 41' 06""",Batik–Del Monte
1997,113,Serhiy Utchakov (UKR),"+ 3h 42' 48""",Team Polti
1997,114,Frédéric Moncassin (FRA),"+ 3h 45' 03""",GAN
1997,115,Christophe Rinero (FRA),"+ 3h 45' 14""",Cofidis
1997,116,Gilberto Simoni (ITA),"+ 3h 45' 33""",MG Maglificio–Technogym
1997,117,Robbie McEwen (AUS),"+ 3h 45' 47""",Rabobank
1997,118,Giovanni Lombardi (ITA),"+ 3h 45' 59""",Team Telekom
1997,119,Adriano Baffi (ITA),"+ 3h 46' 55""",U.S. Postal Service
1997,120,Luca Scinto (ITA),"+ 3h 48' 04""",MG Maglificio–Technogym
1997,121,Marcelino García (ESP),"+ 3h 49' 33""",ONCE
1997,122,Nicola Minali (ITA),"+ 3h 51' 26""",Batik–Del Monte
1997,123,Mirko Crepaldi (ITA),"+ 3h 51' 49""",Team Polti
1997,124,Lauri Aus (EST),"+ 3h 52' 31""",Casino
1997,125,Gerrit de Vries (NED),"+ 3h 54' 05""",Team Polti
1997,126,Jeroen Blijlevens (NED),"+ 3h 54' 10""",TVM–Farm Frites
1997,127,Laurent Desbiens (FRA),"+ 3h 54' 32""",Cofidis
1997,128,Tristan Hoffman (NED),"+ 3h 54' 49""",TVM–Farm Frites
1997,129,Carlo Finco (ITA),"+ 3h 57' 27""",MG Maglificio–Technogym
1997,130,Rossano Brasi (ITA),"+ 4h 02' 11""",Team Polti
1997,131,Pascal Deramé (FRA),"+ 4h 04' 57""",U.S. Postal Service
1997,132,Matteo Tosatto (ITA),"+ 4h 06' 05""",MG Maglificio–Technogym
1997,133,Gianluca Pierobon (ITA),"+ 4h 06' 53""",Batik–Del Monte
1997,134,Eros Poli (ITA),"+ 4h 11' 22""",GAN
1997,135,Nicolas Jalabert (FRA),"+ 4h 11' 31""",Cofidis
1997,136,Torsten Schmidt (GER),"+ 4h 15' 48""",Roslotto–ZG Mobili
1997,137,Philipp Buschor (SUI),"+ 4h 17' 35""",Saeco
1997,138,Stéphane Cueff (FRA),"+ 4h 18' 18""",Mutuelle de Seine-et-Marne
1997,139,Philippe Gaumont (FRA),"+ 4h 26' 09""",Cofidis
1998,1,Marco Pantani (ITA),"92h 49' 46""",Mercatone Uno–Bianchi
1998,2,Jan Ullrich (GER),"+ 3' 21""",Team Telekom
1998,3,Bobby Julich (USA),"+ 4' 08""",Cofidis
1998,4,Christophe Rinero (FRA),"+ 9' 16""",Cofidis
1998,5,Michael Boogerd (NED),"+ 11' 26""",Rabobank
1998,6,Jean-Cyril Robin (FRA),"+ 14' 57""",U.S. Postal Service
1998,7,Roland Meier (SUI),"+ 15' 13""",Cofidis
1998,8,Daniele Nardello (ITA),"+ 16' 07""",Mapei–Bricobi
1998,9,Giuseppe Di Grande (ITA),"+ 17' 35""",Mapei–Bricobi
1998,10,Axel Merckx (BEL),"+ 17' 39""",Team Polti
1998,11,Bjarne Riis (DEN),"+ 19' 10""",Team Telekom
1998,12,Dariusz Baranowski (POL),"+ 19' 58""",U.S. Postal Service
1998,13,Stéphane Heulot (FRA),"+ 20' 57""",Française des Jeux
1998,14,Leonardo Piepoli (ITA),"+ 22' 45""",Saeco Macchine per Caffè
1998,15,Bo Hamburger (DEN),"+ 26' 39""",Casino–Ag2r
1998,16,Kurt Van De Wouwer (BEL),"+ 27' 20""",Lotto–Mobistar
1998,17,Kevin Livingston (USA),"+ 34' 03""",Cofidis
1998,18,Jörg Jaksche (GER),"+ 35' 41""",Team Polti
1998,19,Peter Farazijn (BEL),"+ 36' 10""",Lotto–Mobistar
1998,20,Andrey Teteryuk (KAZ),"+ 37' 03""",Lotto–Mobistar
1998,21,Udo Bölts (GER),"+ 37' 25""",Team Telekom
1998,22,Laurent Madouas (FRA),"+ 39' 54""",Lotto–Mobistar
1998,23,Geert Verheyen (BEL),"+ 41' 23""",Lotto–Mobistar
1998,24,Cédric Vasseur (FRA),"+ 42' 14""",GAN
1998,25,Evgeni Berzin (RUS),"+ 42' 51""",Française des Jeux
1998,26,Thierry Bourguignon (FRA),"+ 43' 53""",BigMat–Auber 93
1998,27,Georg Totschnig (AUT),"+ 50' 13""",Team Telekom
1998,28,Benoît Salmon (FRA),"+ 51' 18""",Casino–Ag2r
1998,29,Alberto Elli (ITA),"+ 1h 00' 13""",Casino–Ag2r
1998,30,Philippe Bordenave (FRA),"+ 1h 05' 55""",BigMat–Auber 93
1998,31,Christophe Agnolutto (FRA),"+ 1h 11' 03""",Casino–Ag2r
1998,32,Oscar Pozzi (ITA),"+ 1h 14' 54""",Asics–CGA
1998,33,Maarten den Bakker (NED),"+ 1h 16' 21""",Rabobank
1998,34,Patrick Jonker (AUS),"+ 1h 16' 49""",Rabobank
1998,35,Pascal Chanteur (FRA),"+ 1h 19' 32""",Casino–Ag2r
1998,36,Massimiliano Lelli (ITA),"+ 1h 20' 15""",Cofidis
1998,37,Massimo Podenzana (ITA),"+ 1h 20' 47""",Mercatone Uno–Bianchi
1998,38,Viatcheslav Ekimov (RUS),"+ 1h 22' 40""",U.S. Postal Service
1998,39,Denis Leproux (FRA),"+ 1h 25' 05""",BigMat–Auber 93
1998,40,Beat Zberg (SUI),"+ 1h 26' 08""",Rabobank
1998,41,Lylian Lebreton (FRA),"+ 1h 28' 19""",BigMat–Auber 93
1998,42,Andrea Tafi (ITA),"+ 1h 29' 22""",Mapei–Bricobi
1998,43,Rolf Aldag (GER),"+ 1h 29' 27""",Team Telekom
1998,44,Koos Moerenhout (NED),"+ 1h 29' 37""",Rabobank
1998,45,Peter Meinert Nielsen (DEN),"+ 1h 29' 52""",U.S. Postal Service
1998,46,Riccardo Forconi (ITA),"+ 1h 30' 33""",Mercatone Uno–Bianchi
1998,47,Fabio Sacchi (ITA),"+ 1h 31' 53""",Team Polti
1998,48,Marty Jemison (USA),"+ 1h 34' 27""",U.S. Postal Service
1998,49,Nicolas Jalabert (FRA),"+ 1h 38' 45""",Cofidis
1998,50,Massimo Donati (ITA),"+ 1h 38' 59""",Saeco Macchine per Caffè
1998,51,Tyler Hamilton (USA),"+ 1h 39' 53""",U.S. Postal Service
1998,52,Simone Borgheresi (ITA),"+ 1h 40' 04""",Mercatone Uno–Bianchi
1998,53,George Hincapie (USA),"+ 1h 40' 39""",U.S. Postal Service
1998,54,Stuart O'Grady (AUS),"+ 1h 46' 04""",GAN
1998,55,Filippo Simeoni (ITA),"+ 1h 47' 19""",Asics–CGA
1998,56,Jens Heppner (GER),"+ 1h 50' 43""",Team Telekom
1998,57,François Simon (FRA),"+ 1h 52' 41""",GAN
1998,58,Frankie Andreu (USA),"+ 1h 53' 44""",U.S. Postal Service
1998,59,Thierry Gouvenou (FRA),"+ 1h 55' 20""",BigMat–Auber 93
1998,60,Roberto Conti (ITA),"+ 1h 55' 33""",Mercatone Uno–Bianchi
