Year,Date,Stage,Course,Distance,Type,Winner
1973,1973-07-13,12b,Thuir to Bolquères Pyrenees 2000 [fr],76 km (47 mi),Stage with mountain(s),Lucien Van Impe (BEL)
1973,1973-07-15,13,Bourg-Madame to Luchon,235 km (146 mi),Stage with mountain(s),Luis Ocaña (ESP)
1973,1973-07-16,14,Luchon to Pau,227.5 km (141.4 mi),Stage with mountain(s),Pedro Torres (ESP)
1973,1973-07-17,15,Pau to Fleurance,137 km (85 mi),Plain stage,Wilfried David (BEL)
1973,1973-07-18,16a,Fleurance to Bordeaux,210 km (130 mi),Plain stage,Walter Godefroot (BEL)
1973,1973-07-18,16b,Bordeaux,12.4 km (7.7 mi),Individual time trial,Joaquim Agostinho (POR)
1973,1973-07-19,17,Sainte-Foy-la-Grande to Brive-la-Gaillarde,248 km (154 mi),Plain stage,Claude Tollet (FRA)
1973,1973-07-20,18,Brive-la-Gaillarde to Puy-de-Dôme,216.5 km (134.5 mi),Stage with mountain(s),Luis Ocaña (ESP)
1973,1973-07-21,19,Bourges to Versailles,233.5 km (145.1 mi),Plain stage,Barry Hoban (GBR)
1973,1973-07-22,20a,Versailles,16 km (9.9 mi),Individual time trial,Luis Ocaña (ESP)
1973,1973-07-22,20b,Versailles to Paris,89 km (55 mi),Plain stage,Bernard Thévenet (FRA)
1974,1974-06-27,P,Brest,7 km (4.3 mi),Individual time trial,Eddy Merckx (BEL)
1974,1974-06-28,1,Brest to Saint-Pol-de-Léon,144 km (89 mi),Plain stage,Ercole Gualazzini (ITA)
1974,1974-06-29,2,Plymouth (United Kingdom),164 km (102 mi),Plain stage,Henk Poppe (NED)
1974,1974-06-30,3,Morlaix to Saint-Malo,190 km (120 mi),Plain stage,Patrick Sercu (BEL)
1974,1974-07-01,4,Saint-Malo to Caen,184 km (114 mi),Plain stage,Patrick Sercu (BEL)
1974,1974-07-02,5,Caen to Dieppe,165 km (103 mi),Plain stage,Ronald de Witte (BEL)
1974,1974-07-03,6a,Dieppe to Harelbeke (Belgium),239 km (149 mi),Plain stage,Jean-Luc Molinéris (FRA)
1974,1974-07-03,6b,Harelbeke (Belgium),9 km (5.6 mi),Team time trial,Molteni
1974,1974-07-04,7,Mons (Belgium) to Châlons-sur-Marne,221 km (137 mi),Plain stage,Eddy Merckx (BEL)
1974,1974-07-05,8a,Châlons-sur-Marne to Chaumont,136 km (85 mi),Plain stage,Cyrille Guimard (FRA)
1974,1974-07-05,8b,Chaumont to Besançon,152 km (94 mi),Plain stage,Patrick Sercu (BEL)
1974,1974-07-06,9,Besançon to Gaillard,241 km (150 mi),Stage with mountain(s),Eddy Merckx (BEL)
1974,1974-07-07,10,Gaillard to Aix-les-Bains,131 km (81 mi),Stage with mountain(s),Eddy Merckx (BEL)
1974,1974-07-08,11,Aix-les-Bains to Serre Chevalier,199 km (124 mi),Stage with mountain(s),Vicente López Carril (ESP)
1974,1974-07-10,12,Savines-le-Lac to Orange,231 km (144 mi),Stage with mountain(s),Jos Spruyt (BEL)
1974,1974-07-11,13,Avignon to Montpellier,126 km (78 mi),Plain stage,Barry Hoban (GBR)
1974,1974-07-12,14,Lodève to Colomiers,249 km (155 mi),Plain stage,Jean-Pierre Genet (FRA)
1974,1974-07-14,15,Colomiers to La Seu d'Urgell (Spain),225 km (140 mi),Stage with mountain(s),Eddy Merckx (BEL)
1974,1974-07-15,16,La Seu d'Urgell to Saint-Lary-Soulan Pla d'Adet,209 km (130 mi),Stage with mountain(s),Raymond Poulidor (FRA)
1974,1974-07-16,17,Saint-Lary-Soulan to La Mongie,119 km (74 mi),Stage with mountain(s),Jean-Pierre Danguillaume (FRA)
1974,1974-07-17,18,Bagnères-de-Bigorre to Pau,141 km (88 mi),Stage with mountain(s),Jean-Pierre Danguillaume (FRA)
1974,1974-07-18,19a,Pau to Bordeaux,196 km (122 mi),Plain stage,Francis Campaner (FRA)
1974,1974-07-18,19b,Bordeaux,12 km (7.5 mi),Individual time trial,Eddy Merckx (BEL)
1974,1974-07-19,20,Saint-Gilles-Croix-de-Vie to Nantes,120 km (75 mi),Plain stage,Gerard Vianen (NED)
1974,1974-07-20,21a,Vouvray to Orléans,113 km (70 mi),Plain stage,Eddy Merckx (BEL)
1974,1974-07-20,21b,Orléans,37 km (23 mi),Individual time trial,Michel Pollentier (BEL)
1974,1974-07-21,22,Orléans to Paris,146 km (91 mi),Plain stage,Eddy Merckx (BEL)
1975,1975-06-26,P,Charleroi (Belgium),6 km (3.7 mi),Individual time trial,Francesco Moser (ITA)
1975,1975-06-27,1a,Charleroi (Belgium) to Molenbeek (Belgium),94 km (58 mi),Plain stage,Cees Priem (NED)
1975,1975-06-27,1b,Molenbeek (Belgium) to Roubaix,109 km (68 mi),Plain stage,Rik Van Linden (BEL)
1975,1975-06-28,2,Roubaix to Amiens,121 km (75 mi),Plain stage,Ronald de Witte (BEL)
1975,1975-06-29,3,Amiens to Versailles,170 km (110 mi),Plain stage,Karel Rottiers (BEL)
1975,1975-06-30,4,Versailles to Le Mans,223 km (139 mi),Plain stage,Jacques Esclassan (FRA)
1975,1975-07-02,5,Sablé-sur-Sarthe to Merlin-Plage,222 km (138 mi),Plain stage,Theo Smit (NED)
1975,1975-07-02,6,Merlin-Plage,16 km (9.9 mi),Individual time trial,Eddy Merckx (BEL)
1975,1975-07-03,7,Saint-Gilles-Croix-de-Vie to Angoulême,236 km (147 mi),Plain stage,Francesco Moser (ITA)
1975,1975-07-04,8,Angoulême to Bordeaux,134 km (83 mi),Plain stage,Barry Hoban (GBR)
1975,1975-07-05,9a,Langon to Fleurance,131 km (81 mi),Plain stage,Theo Smit (NED)
1975,1975-07-05,9b,Fleurance to Auch,37 km (23 mi),Individual time trial,Eddy Merckx (BEL)
1975,1975-07-07,10,Auch to Pau,206 km (128 mi),Stage with mountain(s),Felice Gimondi (ITA)
1975,1975-07-08,11,Pau to Saint-Lary-Soulan Pla d'Adet,160 km (99 mi),Stage with mountain(s),Joop Zoetemelk (NED)
1975,1975-07-09,12,Tarbes to Albi,242 km (150 mi),Plain stage,Gerrie Knetemann (NED)
1975,1975-07-10,13,Albi to Super-Lioran,260 km (160 mi),Stage with mountain(s),Michel Pollentier (BEL)
1975,1975-07-11,14,Aurillac to Puy de Dôme,174 km (108 mi),Stage with mountain(s),Lucien Van Impe (BEL)
1975,1975-07-13,15,Nice to Pra-Loup,217 km (135 mi),Stage with mountain(s),Bernard Thévenet (FRA)
1975,1975-07-14,16,Barcelonnette to Serre Chevalier,107 km (66 mi),Stage with mountain(s),Bernard Thévenet (FRA)
1975,1975-07-15,17,Valloire to Morzine Avoriaz,225 km (140 mi),Stage with mountain(s),Vicente López Carril (ESP)
1975,1975-07-16,18,Morzine to Châtel,40 km (25 mi),Individual time trial,Lucien Van Impe (BEL)
1975,1975-07-17,19,Thonon-les-Bains to Chalon-sur-Saône,229 km (142 mi),Stage with mountain(s),Rik Van Linden (BEL)
1975,1975-07-18,20,Pouilly-en-Auxois to Melun,256 km (159 mi),Plain stage,Giacinto Santambrogio (ITA)
1975,1975-07-19,21,Melun to Senlis,220 km (140 mi),Plain stage,Rik Van Linden (BEL)
1975,1975-07-20,22,Paris to Paris (Champs-Élysées),164 km (102 mi),Plain stage,Walter Godefroot (BEL)
1976,1976-06-24,P,Saint-Jean-de-Monts,8 km (5 mi),Individual time trial,Freddy Maertens (BEL)
1976,1976-06-25,1,Saint-Jean-de-Monts to Angers,173 km (107 mi),Flat Stage,Freddy Maertens (BEL)
1976,1976-06-26,2,Angers to Caen,237 km (147 mi),Flat Stage,Giovanni Battaglin (ITA)
1976,1976-06-27,3,Le Touquet-Paris-Plage to Le Touquet-Paris-Plage,37 km (23 mi),Individual time trial,Freddy Maertens (BEL)
1976,1976-06-28,4,Le Touquet-Paris-Plage to Bornem (Belgium),258 km (160 mi),Flat Stage,Hennie Kuiper (NED)
1976,1976-06-29,5a,Leuven (Belgium) to Leuven (Belgium),4 km (2 mi),Team time trial,TI–Raleigh–Campagnolo
1976,1976-06-29,5b,Leuven (Belgium) to Verviers (Belgium),144 km (89 mi),Half Stage,Miguel María Lasa (ESP)
1976,1976-06-30,6,Bastogne to Nancy,209 km (130 mi),Flat Stage,Aldo Parecchini (ITA)
1976,1976-07-01,7,Nancy to Mulhouse,206 km (128 mi),Hilly Stage,Freddy Maertens (BEL)
1976,1976-07-02,8,Valentigney to Divonne-les-Bains,220 km (137 mi),Hilly Stage,Jacques Esclassan (FRA)
1976,1976-07-04,9,Divonne-les-Bains to Alpe d'Huez,258 km (160 mi),Mountain Stage,Joop Zoetemelk (NED)
1976,1976-07-05,10,Le Bourg-d'Oisans to Montgenèvre,166 km (103 mi),Mountain Stage,Joop Zoetemelk (NED)
1976,1976-07-06,11,Montgenèvre to Manosque,224 km (139 mi),Mountain Stage,José Viejo (ESP)
1976,1976-07-08,12,Le Barcarès to Bolquères Pyrenees 2000 [fr],205 km (127 mi),Mountain Stage,Raymond Delisle (FRA)
1976,1976-07-09,13,Font-Romeu-Odeillo-Via to Saint-Gaudens,188 km (117 mi),Mountain Stage,Willy Teirlinck (BEL)[13]
1976,1976-07-10,14,Saint-Gaudens to Saint-Lary-Soulan,139 km (86 mi),Mountain Stage,Lucien Van Impe (BEL)
1976,1976-07-11,15,Saint-Lary-Soulan to Pau,195 km (121 mi),Mountain Stage,Wladimiro Panizza (ITA)
1976,1976-07-12,16,Pau to Fleurance,152 km (94 mi),Flat Stage,Michel Pollentier (BEL)
1976,1976-07-13,17,Fleurance to Auch,39 km (24 mi),Individual time trial,Ferdinand Bracke (BEL)
1976,1976-07-14,18a,Auch to Langon,86 km (53 mi),Half Stage,Freddy Maertens (BEL)
1976,1976-07-14,18b,Langon to Lacanau,123 km (76 mi),Half Stage,Freddy Maertens (BEL)
1976,1976-07-14,18c,Lacanau to Bordeaux,70 km (43 mi),Half Stage,Gerben Karstens (NED)
1976,1976-07-15,19,Sainte-Foy-la-Grande to Tulle,220 km (137 mi),Flat Stage,Hubert Mathis (FRA)
1976,1976-07-16,20,Tulle to Puy-de-Dôme,220 km (137 mi),Mountain Stage,Joop Zoetemelk (NED)
1976,1976-07-17,21,Montargis to Versailles,145 km (90 mi),Flat Stage,Freddy Maertens (BEL)
1976,1976-07-18,22a,Paris,6 km (4 mi),Individual time trial,Freddy Maertens (BEL)
1976,1976-07-18,22b,Paris to Paris (Champs-Élysées),91 km (57 mi),Half Stage,Gerben Karstens (NED)
1977,1977-06-30,P,Fleurance,5 km (3.1 mi),Individual time trial,Dietrich Thurau (FRG)
1977,1977-07-01,1,Fleurance to Auch,237 km (147 mi),Plain stage,Pierre-Raymond Villemiane (FRA)
1977,1977-07-02,2,Auch to Pau,253 km (157 mi),Stage with mountain(s),Dietrich Thurau (FRG)
1977,1977-07-03,3,Oloron-Sainte-Marie to Vitoria-Gasteiz (Spain),248 km (154 mi),Stage with mountain(s),José Nazabal (ESP)
1977,1977-07-04,4,Vitoria-Gasteiz (Spain) to Seignosse le Penon,256 km (159 mi),Stage with mountain(s),Régis Delépine (FRA)
1977,1977-07-05,5a,Morcenx to Bordeaux,139 km (86 mi),Plain stage,Jacques Esclassan (FRA)
1977,1977-07-05,5b,Bordeaux,30 km (19 mi),Individual time trial,Dietrich Thurau (FRG)
1977,1977-07-07,6,Bordeaux to Limoges,225 km (140 mi),Plain stage,Jan Raas (NED)
1977,1977-07-08,7a,Jaunay-Clan to Angers,140 km (87 mi),Plain stage,Patrick Sercu (BEL)
1977,1977-07-08,7b,Angers,4 km (2.5 mi),Team time trial,Fiat France
1977,1977-07-09,8,Angers to Lorient,247 km (153 mi),Plain stage,Giacinto Santambrogio (ITA)
1977,1977-07-10,9,Lorient to Rennes,187 km (116 mi),Stage with mountain(s),Klaus-Peter Thaler (FRG)
1977,1977-07-11,10,Bagnoles-de-l'Orne to Rouen,174 km (108 mi),Plain stage,Fedor den Hertog (NED)
1977,1977-07-12,11,Rouen to Roubaix,242 km (150 mi),Plain stage,Jean-Pierre Danguillaume (FRA)
1977,1977-07-13,12,Roubaix to Charleroi (Belgium),193 km (120 mi),Stage with mountain(s),Patrick Sercu (BEL)
1977,1977-07-14,13a,Freiburg (West Germany),46 km (29 mi),Plain stage,Patrick Sercu (BEL)
1977,1977-07-14,13b,Altkirch to Besançon,160 km (99 mi),Plain stage,Jean-Pierre Danguillaume (FRA)
1977,1977-07-16,14,Besançon to Thonon-les-Bains,230 km (140 mi),Stage with mountain(s),Bernard Quilfen (FRA)
1977,1977-07-17,15a,Thonon-les-Bains to Morzine,105 km (65 mi),Stage with mountain(s),Paul Wellens (BEL)
1977,1977-07-17,15b,Morzine to Avoriaz,14 km (8.7 mi),Individual time trial,Lucien Van Impe (BEL)[a]
1977,1977-07-18,16,Morzine to Chamonix,121 km (75 mi),Stage with mountain(s),Dietrich Thurau (FRG)
1977,1977-07-19,17,Chamonix to Alpe d'Huez,185 km (115 mi),Stage with mountain(s),Hennie Kuiper (NED)
1977,1977-07-20,18,Rossignol Voiron to Saint-Étienne,199 km (124 mi),Stage with mountain(s),no winner[b]
1977,1977-07-21,19,Saint-Trivier-sur-Moignans to Dijon,172 km (107 mi),Plain stage,Gerrie Knetemann (NED)
1977,1977-07-22,20,Dijon,50 km (31 mi),Individual time trial,Bernard Thévenet (FRA)
1977,1977-07-23,21,Montereau-Fault-Yonne to Versailles,142 km (88 mi),Plain stage,Gerrie Knetemann (NED)
1977,1977-07-24,22a,Paris,6 km (3.7 mi),Individual time trial,Dietrich Thurau (FRG)
1977,1977-07-24,22b,Paris (Champs-Élysées),91 km (57 mi),Plain stage,Alain Meslet (FRA)
1978,1978-06-29,P,Leiden (Netherlands),5 km (3.1 mi),Individual time trial,Jan Raas (NED)
1978,1978-06-30,1a,Leiden to Sint Willebrord (Netherlands),135 km (84 mi),Plain stage,Jan Raas (NED)
1978,1978-06-30,1b,Sint Willebrord (Netherlands) to Brussels (Belgium),100 km (62 mi),Plain stage,Walter Planckaert (BEL)
1978,1978-07-01,2,Brussels (Belgium) to Saint-Amand-les-Eaux,199 km (124 mi),Plain stage,Jacques Esclassan (FRA)
1978,1978-07-02,3,Saint-Amand-les-Eaux to Saint-Germain-en-Laye,244 km (152 mi),Plain stage,Klaus-Peter Thaler (FRG)
1978,1978-07-03,4,Évreux to Caen,153 km (95 mi),Team time trial,TI–Raleigh–McGregor
1978,1978-07-04,5,Caen to Mazé–Montgeoffroy,244 km (152 mi),Plain stage,Freddy Maertens (BEL)
1978,1978-07-05,6,Mazé–Montgeoffroy to Poitiers,162 km (101 mi),Plain stage,Sean Kelly (IRE)
1978,1978-07-06,7,Poitiers to Bordeaux,242 km (150 mi),Plain stage,Freddy Maertens (BEL)
1978,1978-07-07,8,Saint-Émilion to Sainte-Foy-la-Grande,59 km (37 mi),Individual time trial,Bernard Hinault (FRA)
1978,1978-07-08,9,Bordeaux to Biarritz,233 km (145 mi),Plain stage,Miguel María Lasa (ESP)
1978,1978-07-10,10,Biarritz to Pau,192 km (119 mi),Hilly stage,Henk Lubberding (NED)
1978,1978-07-11,11,Pau to Saint-Lary-Soulan Pla d'Adet,161 km (100 mi),Stage with mountain(s),Mariano Martínez (FRA)
1978,1978-07-12,12a,Tarbes to Valence d'Agen,158 km (98 mi),Plain stage,Cancelled
1978,1978-07-12,12b,Valence d'Agen to Toulouse,96 km (60 mi),Plain stage,Jacques Esclassan (FRA)
1978,1978-07-13,13,Figeac to Super Besse,221 km (137 mi),Hilly stage,Paul Wellens (BEL)
1978,1978-07-14,14,Besse-en-Chandesse to Puy-de-Dôme,52 km (32 mi),Individual time trial,Joop Zoetemelk (NED)
1978,1978-07-15,15,Saint-Dier-d'Auvergne to Saint-Étienne,196 km (122 mi),Hilly stage,Bernard Hinault (FRA)
1978,1978-07-16,16,St-Étienne to Alpe d'Huez,241 km (150 mi),Stage with mountain(s),Hennie Kuiper (NED)
1978,1978-07-18,17,Grenoble to Morzine,225 km (140 mi),Stage with mountain(s),Christian Seznec (FRA)
1978,1978-07-19,18,Morzine to Lausanne (Switzerland),137 km (85 mi),Plain stage,Gerrie Knetemann (NED)
1978,1978-07-20,19,Lausanne (Switzerland) to Belfort,182 km (113 mi),Plain stage,Marc Demeyer (BEL)
1978,1978-07-21,20,Metz to Nancy,72 km (45 mi),Individual time trial,Bernard Hinault (FRA)
1978,1978-07-22,21,Épernay to Senlis,207 km (129 mi),Plain stage,Jan Raas (NED)
1978,1978-07-23,22,Saint Germain en Laye to Paris (Champs-Élysées),162 km (101 mi),Plain stage,Gerrie Knetemann (NED)
1979,1979-06-27,P,Fleurance,5 km (3.1 mi),Individual time trial,Gerrie Knetemann (NED)
1979,1979-06-28,1,Fleurance to Luchon,225 km (140 mi),Stage with mountain(s),René Bittinger (FRA)
1979,1979-06-29,2,Luchon to Superbagnères,24 km (15 mi),Individual time trial,Bernard Hinault (FRA)
1979,1979-06-30,3,Luchon to Pau,180 km (110 mi),Stage with mountain(s),Bernard Hinault (FRA)
1979,1979-07-01,4,Captieux to Bordeaux,87 km (54 mi),Team time trial,TI–Raleigh–McGregor
1979,1979-07-02,5,Neuville-de-Poitou to Angers,145 km (90 mi),Plain stage,Jan Raas (NED)
1979,1979-07-03,6,Angers to Saint-Brieuc,239 km (149 mi),Plain stage,Jos Jacobs (BEL)
1979,1979-07-04,7,Saint-Hilaire-du-Harcouët to Deauville,158 km (98 mi),Plain stage,Leo van Vliet (NED)
1979,1979-07-05,8,Deauville to Le Havre,90 km (56 mi),Team time trial,TI–Raleigh–McGregor
1979,1979-07-06,9,Amiens to Roubaix,201 km (125 mi),Plain stage,Ludo Delcroix (BEL)
1979,1979-07-07,10,Roubaix to Brussels (Belgium),124 km (77 mi),Plain stage,Jo Maas (NED)
1979,1979-07-08,11,Brussels (Belgium),33 km (21 mi),Individual time trial,Bernard Hinault (FRA)
1979,1979-07-09,12,Rochefort (Belgium) to Metz,193 km (120 mi),Plain stage,Christian Seznec (FRA)
1979,1979-07-10,13,Metz to Ballon d'Alsace,202 km (126 mi),Hilly stage,Pierre-Raymond Villemiane (FRA)
1979,1979-07-11,14,Belfort to Évian-les-Bains,248 km (154 mi),Plain stage,Marc Demeyer (BEL)
1979,1979-07-12,15,Évian-les-Bains to Morzine Avoriaz,54 km (34 mi),Individual time trial,Bernard Hinault (FRA)
1979,1979-07-13,16,Morzine Avoriaz to Les Menuires,201 km (125 mi),Stage with mountain(s),Lucien Van Impe (BEL)
1979,1979-07-15,17,Les Menuires to Alpe d'Huez,167 km (104 mi),Stage with mountain(s),Joaquim Agostinho (POR)
1979,1979-07-16,18,Alpe d'Huez to Alpe d'Huez,119 km (74 mi),Stage with mountain(s),Joop Zoetemelk (NED)
1979,1979-07-17,19,Alpe d'Huez to Saint-Priest,162 km (101 mi),Plain stage,Dietrich Thurau (FRG)
1979,1979-07-18,20,Saint-Priest to Dijon,240 km (150 mi),Plain stage,Serge Parsani (ITA)
1979,1979-07-19,21,Dijon,49 km (30 mi),Individual time trial,Bernard Hinault (FRA)
1979,1979-07-20,22,Dijon to Auxerre,189 km (117 mi),Plain stage,Gerrie Knetemann (NED)
1979,1979-07-21,23,Auxerre to Nogent-sur-Marne,205 km (127 mi),Plain stage,Bernard Hinault (FRA)
1979,1979-07-22,24,Le Perreux-sur-Marne to Paris (Champs-Élysées),180 km (110 mi),Plain stage,Bernard Hinault (FRA)
1980,1980-06-26,P,Frankfurt (West Germany),8 km (5.0 mi),Individual time trial,Bernard Hinault (FRA)
1980,1980-06-27,1a,Frankfurt (West Germany) to Wiesbaden (West Germany),133 km (83 mi),Plain stage,Jan Raas (NED)
1980,1980-06-27,1b,Wiesbaden (West Germany) to Frankfurt (West Germany),46 km (29 mi),Team time trial,TI–Raleigh–Creda
1980,1980-06-28,2,Frankfurt (West Germany) to Metz,276 km (171 mi),Plain stage,Rudy Pevenage (BEL)
1980,1980-06-29,3,Metz to Liège (Belgium),282 km (175 mi),Plain stage,Henk Lubberding (NED)
1980,1980-06-30,4,Spa (Belgium),35 km (22 mi),Individual time trial,Bernard Hinault (FRA)
1980,1980-07-01,5,Liège (Belgium) to Lille,249 km (155 mi),Plain stage,Bernard Hinault (FRA)
1980,1980-07-02,6,Lille to Compiègne,216 km (134 mi),Plain stage,Jean-Louis Gauthier (FRA)
1980,1980-07-03,7a,Compiègne to Beauvais,65 km (40 mi),Team time trial,TI–Raleigh–Creda
1980,1980-07-03,7b,Beauvais to Rouen,92 km (57 mi),Plain stage,Jan Raas (NED)
1980,1980-07-04,8,Flers to Saint-Malo,164 km (102 mi),Plain stage,Bert Oosterbosch (NED)
1980,1980-07-06,9,Saint-Malo to Nantes,205 km (127 mi),Plain stage,Jan Raas (NED)
1980,1980-07-07,10,Rochefort to Bordeaux,163 km (101 mi),Plain stage,Cees Priem (NED)
1980,1980-07-08,11,Damazan to Laplume,52 km (32 mi),Individual time trial,Joop Zoetemelk (NED)
1980,1980-07-09,12,Agen to Pau,194 km (121 mi),Plain stage,Gerrie Knetemann (NED)
1980,1980-07-10,13,Pau to Bagnères-de-Luchon,200 km (120 mi),Stage with mountain(s),Raymond Martin (FRA)
1980,1980-07-11,14,Lézignan-Corbières to Montpellier,189 km (117 mi),Plain stage,Ludo Peeters (BEL)
1980,1980-07-12,15,Montpellier to Martigues,160 km (99 mi),Plain stage,Bernard Vallet (FRA)
1980,1980-07-13,16,Trets to Pra-Loup,209 km (130 mi),Stage with mountain(s),Jos De Schoenmaecker (BEL)
1980,1980-07-14,17,Serre Chevalier to Morzine,242 km (150 mi),Stage with mountain(s),Mariano Martínez (FRA)
1980,1980-07-16,18,Morzine to Prapoutel,199 km (124 mi),Stage with mountain(s),Ludo Loos (BEL)
1980,1980-07-17,19,Voreppe to Saint-Étienne,140 km (87 mi),Hilly stage,Sean Kelly (IRE)
1980,1980-07-18,20,Saint-Étienne,34 km (21 mi),Individual time trial,Joop Zoetemelk (NED)
1980,1980-07-19,21,Auxerre to Fontenay-sous-Bois,208 km (129 mi),Plain stage,Sean Kelly (IRE)
1980,1980-07-20,22,Fontenay-sous-Bois to Paris (Champs-Élysées),186 km (116 mi),Plain stage,Pol Verschuere (BEL)
1981,1981-06-25,P,Nice,6 km (3.7 mi),Individual time trial,Bernard Hinault (FRA)
1981,1981-06-26,1a,Nice,97 km (60 mi),Hilly stage,Freddy Maertens (BEL)
1981,1981-06-26,1b,Nice,40 km (25 mi),Team time trial,TI–Raleigh–Creda[15]
1981,1981-06-27,2,Nice to Martigues,254 km (158 mi),Plain stage,Johan van der Velde (NED)
1981,1981-06-28,3,Martigues to Narbonne,232 km (144 mi),Plain stage,Freddy Maertens (BEL)
1981,1981-06-29,4,Narbonne to Carcassonne,77 km (48 mi),Team time trial,TI–Raleigh–Creda
1981,1981-06-30,5,Saint-Gaudens to Pla d'Adet,117 km (73 mi),Stage with mountain(s),Lucien Van Impe (BEL)
1981,1981-07-01,6,Nay to Pau,27 km (17 mi),Individual time trial,Bernard Hinault (FRA)
1981,1981-07-02,7,Pau to Bordeaux,227 km (141 mi),Plain stage,Urs Freuler (SUI)
1981,1981-07-03,8,Rochefort to Nantes,182 km (113 mi),Plain stage,Ad Wijnands (NED)
1981,1981-07-05,9,Nantes to Le Mans,197 km (122 mi),Plain stage,René Martens (BEL)
1981,1981-07-06,10,Le Mans to Aulnay-sous-Bois,264 km (164 mi),Plain stage,Ad Wijnands (NED)
1981,1981-07-07,11,Compiègne to Roubaix,246 km (153 mi),Plain stage,Daniel Willems (BEL)
1981,1981-07-08,12a,Roubaix to Brussels (Belgium),107 km (66 mi),Plain stage,Freddy Maertens (BEL)
1981,1981-07-08,12b,Brussels (Belgium) to Circuit Zolder (Belgium),138 km (86 mi),Plain stage,Eddy Planckaert (BEL)
1981,1981-07-09,13,Beringen (Belgium) to Hasselt (Belgium),157 km (98 mi),Plain stage,Freddy Maertens (BEL)
1981,1981-07-10,14,Mulhouse,38 km (24 mi),Individual time trial,Bernard Hinault (FRA)
1981,1981-07-11,15,Besançon to Thonon-les-Bains,231 km (144 mi),Hilly stage,Sean Kelly (IRE)
1981,1981-07-12,16,Thonon-les-Bains to Morzine,200 km (120 mi),Stage with mountain(s),Robert Alban (FRA)
1981,1981-07-14,17,Morzine to Alpe d'Huez,230 km (140 mi),Stage with mountain(s),Peter Winnen (NED)
1981,1981-07-15,18,Le Bourg-d'Oisans to Le Pleynet,134 km (83 mi),Stage with mountain(s),Bernard Hinault (FRA)
1981,1981-07-16,19,Veurey to Saint-Priest,118 km (73 mi),Plain stage,Daniel Willems (BEL)
1981,1981-07-17,20,Saint-Priest,46 km (29 mi),Individual time trial,Bernard Hinault (FRA)
1981,1981-07-18,21,Auxerre to Fontenay-sous-Bois,207 km (129 mi),Plain stage,Johan van der Velde (NED)
1981,1981-07-19,22,Fontenay-sous-Bois to Paris (Champs-Élysées),187 km (116 mi),Plain stage,Freddy Maertens (BEL)
1982,1982-07-02,P,Basel (Switzerland),7 km (4.3 mi),Individual time trial,Bernard Hinault (FRA)
1982,1982-07-03,1,Basel (Switzerland) to Möhlin (Switzerland),207 km (129 mi),Hilly stage,Ludo Peeters (BEL)
1982,1982-07-04,2,Basel (Switzerland) to Nancy,250 km (160 mi),Plain stage,Phil Anderson (AUS)
1982,1982-07-05,3,Nancy to Longwy,134 km (83 mi),Plain stage,Daniel Willems (BEL)
1982,1982-07-06,4,Beauraing (Belgium) to Mouscron (Belgium),219 km (136 mi),Plain stage,Gerrie Knetemann (NED)
1982,1982-07-07,5,Orchies to Fontaine-au-Pire,73 km (45 mi),Team time trial,Cancelled and replaced by stage 9a
1982,1982-07-08,6,Lille,233 km (145 mi),Plain stage,Jan Raas (NED)
1982,1982-07-10,7,Cancale to Concarneau,235 km (146 mi),Plain stage,Pol Verschuere (BEL)
1982,1982-07-11,8,Concarneau to Châteaulin,201 km (125 mi),Plain stage,Frank Hoste (BEL)
1982,1982-07-12,9a,Lorient to Plumelec,69 km (43 mi),Team time trial,TI–Raleigh–Campagnolo
1982,1982-07-12,9b,Plumelec to Nantes,138 km (86 mi),Plain stage,Stefan Mutter (SUI)
1982,1982-07-13,10,Saintes to Bordeaux,147 km (91 mi),Plain stage,Pierre-Raymond Villemiane (FRA)
1982,1982-07-14,11,Valence d'Agen,57 km (35 mi),Individual time trial,Gerrie Knetemann (NED)
1982,1982-07-15,12,Fleurance to Pau,249 km (155 mi),Stage with mountain(s),Sean Kelly (IRE)
1982,1982-07-16,13,Pau to Saint-Lary-Soulan Pla d'Adet,122 km (76 mi),Stage with mountain(s),Beat Breu (SUI)
1982,1982-07-18,14,Martigues,33 km (21 mi),Individual time trial,Bernard Hinault (FRA)
1982,1982-07-19,15,Manosque to Orcières-Merlette,208 km (129 mi),Stage with mountain(s),Pascal Simon (FRA)
1982,1982-07-20,16,Orcières-Merlette to Alpe d'Huez,123 km (76 mi),Stage with mountain(s),Beat Breu (SUI)
1982,1982-07-21,17,Le Bourg-d'Oisans to Morzine,251 km (156 mi),Stage with mountain(s),Peter Winnen (NED)
1982,1982-07-22,18,Morzine to Saint-Priest,233 km (145 mi),Plain stage,Adrie van Houwelingen (NED)
1982,1982-07-23,19,Saint-Priest,48 km (30 mi),Individual time trial,Bernard Hinault (FRA)
1982,1982-07-24,20,Sens to Aulnay-sous-Bois,161 km (100 mi),Plain stage,Daniel Willems (BEL)
1982,1982-07-25,21,Fontenay-sous-Bois to Paris (Champs-Élysées),187 km (116 mi),Plain stage,Bernard Hinault (FRA)
1983,1983-07-01,P,Fontenay-sous-Bois,6 km (3.7 mi),Individual time trial,Eric Vanderaerden (BEL)
1983,1983-07-02,1,Nogent-sur-Marne to Créteil,163 km (101 mi),Plain stage,Frits Pirard (NED)
